Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Banana,Besrai,Local,4000,4500,4500,18-Jun-25
2,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Banana,Besrai,Local,4000,4500,4500,26-Dec-24
3,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Banana,Besrai,Local,4500,5000,5000,1-Jun-25
4,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Banana,Besrai,Local,4500,5000,5000,17-Jun-25
5,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Banana,Besrai,Local,4500,5000,5000,18-Nov-24
6,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Banana,Besrai,Local,4500,5000,5000,26-Nov-24
7,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Banana,Besrai,Local,4500,5000,5000,29-Nov-24
8,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Banana,Besrai,Local,4600,4800,4800,31-Jul-24
9,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Banana,Besrai,Local,4800,5000,5000,16-Nov-24
10,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Banana,Besrai,Local,5500,6000,6000,4-Nov-24
11,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Banana,Besrai,Local,5500,6000,6000,6-Nov-24
12,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Banana,Besrai,Local,5500,6000,6000,7-Nov-24
13,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Banana,Besrai,Local,5500,6000,6000,14-Oct-24
14,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Banana,Besrai,Local,5500,6000,6000,26-Aug-24
15,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Banana,Besrai,Local,5500,6000,6000,26-Sep-24
16,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Banana,Besrai,Local,5500,6000,6000,28-Jan-25
17,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Banana,Besrai,Local,5500,6000,6000,29-Mar-25
18,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Banana,Besrai,Local,5500,6000,6000,29-Oct-24
19,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Banana,Besrai,Local,5500,6500,6500,7-Aug-24
20,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Banana,Besrai,Local,5800,6000,6000,12-Mar-25
21,Pudukkottai,Alangudi,Banana,Besrai,Local,35,40,40,3-Jul-24
22,Pudukkottai,Alangudi,Banana,Besrai,Local,45,50,50,6-Jul-24
23,Pudukkottai,Alangudi,Banana,Besrai,Local,45,50,50,28-Jun-24
24,Pudukkottai,Alangudi,Banana,Besrai,Local,3500,4000,4000,8-Jul-24
25,Pudukkottai,Alangudi,Banana,Besrai,Local,3500,4000,4000,10-Jul-24
26,Pudukkottai,Alangudi,Banana,Besrai,Local,4500,5000,5000,14-Jul-24
27,Pudukkottai,Alangudi(Uzhavar Sandhai ),Banana,Besrai,Local,3500,4000,4000,26-Jul-24
28,Pudukkottai,Alangudi(Uzhavar Sandhai ),Banana,Besrai,Local,4000,6000,6000,6-Dec-24
29,Pudukkottai,Alangudi(Uzhavar Sandhai ),Banana,Besrai,Local,4500,5000,5000,14-Sep-24
30,Pudukkottai,Alangudi(Uzhavar Sandhai ),Banana,Besrai,Local,4500,5000,5000,25-Aug-24
31,Pudukkottai,Alangudi(Uzhavar Sandhai ),Banana,Besrai,Local,5000,6000,6000,1-May-25
32,Pudukkottai,Alangudi(Uzhavar Sandhai ),Banana,Besrai,Local,5000,6000,6000,3-Feb-25
33,Pudukkottai,Alangudi(Uzhavar Sandhai ),Banana,Besrai,Local,5000,6000,6000,4-Nov-24
34,Pudukkottai,Alangudi(Uzhavar Sandhai ),Banana,Besrai,Local,5000,6000,6000,5-Dec-24
35,Pudukkottai,Alangudi(Uzhavar Sandhai ),Banana,Besrai,Local,5000,6000,6000,6-Nov-24
36,Pudukkottai,Alangudi(Uzhavar Sandhai ),Banana,Besrai,Local,5000,6000,6000,9-Jul-25
37,Pudukkottai,Alangudi(Uzhavar Sandhai ),Banana,Besrai,Local,5000,6000,6000,12-Jul-25
38,Pudukkottai,Alangudi(Uzhavar Sandhai ),Banana,Besrai,Local,5000,6000,6000,14-Oct-24
39,Pudukkottai,Alangudi(Uzhavar Sandhai ),Banana,Besrai,Local,5000,6000,6000,15-Apr-25
40,Pudukkottai,Alangudi(Uzhavar Sandhai ),Banana,Besrai,Local,5000,6000,6000,15-Feb-25
41,Pudukkottai,Alangudi(Uzhavar Sandhai ),Banana,Besrai,Local,5000,6000,6000,16-Dec-24
42,Pudukkottai,Alangudi(Uzhavar Sandhai ),Banana,Besrai,Local,5000,6000,6000,16-Feb-25
43,Pudukkottai,Alangudi(Uzhavar Sandhai ),Banana,Besrai,Local,5000,6000,6000,19-Apr-25
44,Pudukkottai,Alangudi(Uzhavar Sandhai ),Banana,Besrai,Local,5000,6000,6000,20-Aug-24
45,Pudukkottai,Alangudi(Uzhavar Sandhai ),Banana,Besrai,Local,5000,6000,6000,21-Jan-25
46,Pudukkottai,Alangudi(Uzhavar Sandhai ),Banana,Besrai,Local,5000,6000,6000,25-Dec-24
47,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Banana,Besrai,Local,4000,4500,4500,2-Jul-25
48,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Banana,Besrai,Local,4000,4500,4500,8-May-25
49,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Banana,Besrai,Local,4000,4500,4500,14-Jun-25
50,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Banana,Besrai,Local,4500,5000,5000,5-Aug-24
51,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Banana,Besrai,Local,4800,5000,5000,23-May-25
52,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Banana,Besrai,Local,4800,5000,5000,26-Jun-25
53,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Banana,Besrai,Local,5000,5500,5500,22-Feb-25
54,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Banana,Besrai,Local,5000,5500,5500,30-Jul-24
55,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Banana,Besrai,Local,5500,6000,6000,1-May-25
56,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Banana,Besrai,Local,5500,6000,6000,5-Sep-24
57,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Banana,Besrai,Local,5500,6000,6000,7-Apr-25
58,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Banana,Besrai,Local,5500,6000,6000,12-Apr-25
59,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Banana,Besrai,Local,5500,6000,6000,16-Feb-25
60,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Banana,Besrai,Local,5500,6000,6000,17-Mar-25
61,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Banana,Besrai,Local,5500,6000,6000,29-Jan-25
62,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Banana,Besrai,Local,5500,6000,6000,30-Jan-25
63,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Banana,Besrai,Local,5500,6000,6000,31-Mar-25
64,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Banana,Besrai,Local,5600,6000,6000,31-Aug-24
65,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Banana,Besrai,Local,6000,6200,6200,3-Sep-24
66,Pudukkottai,Alangudi,Banana,Besrai,Local,35,40,40,18-Jun-24
67,Pudukkottai,Alangudi,Banana,Besrai,Local,45,50,50,30-Jun-24
68,Pudukkottai,Alangudi(Uzhavar Sandhai ),Banana,Besrai,Local,4500,5000,5000,4-Sep-24
69,Pudukkottai,Alangudi(Uzhavar Sandhai ),Banana,Besrai,Local,4500,5000,5000,12-Sep-24
70,Pudukkottai,Alangudi(Uzhavar Sandhai ),Banana,Besrai,Local,4500,5000,5000,16-Jul-24
71,Pudukkottai,Alangudi(Uzhavar Sandhai ),Banana,Besrai,Local,4500,5000,5000,20-May-25
72,Pudukkottai,Alangudi(Uzhavar Sandhai ),Banana,Besrai,Local,4500,5000,5000,31-Jul-24
73,Pudukkottai,Alangudi(Uzhavar Sandhai ),Banana,Besrai,Local,5000,6000,6000,6-Sep-24
74,Pudukkottai,Alangudi(Uzhavar Sandhai ),Banana,Besrai,Local,5000,6000,6000,7-Nov-24
75,Pudukkottai,Alangudi(Uzhavar Sandhai ),Banana,Besrai,Local,5000,6000,6000,8-Mar-25
76,Pudukkottai,Alangudi(Uzhavar Sandhai ),Banana,Besrai,Local,5000,6000,6000,12-Feb-25
77,Pudukkottai,Alangudi(Uzhavar Sandhai ),Banana,Besrai,Local,5000,6000,6000,13-Jun-25
78,Pudukkottai,Alangudi(Uzhavar Sandhai ),Banana,Besrai,Local,5000,6000,6000,14-Apr-25
79,Pudukkottai,Alangudi(Uzhavar Sandhai ),Banana,Besrai,Local,5000,6000,6000,15-Dec-24
80,Pudukkottai,Alangudi(Uzhavar Sandhai ),Banana,Besrai,Local,5000,6000,6000,16-Apr-25
81,Pudukkottai,Alangudi(Uzhavar Sandhai ),Banana,Besrai,Local,5000,6000,6000,17-Dec-24
82,Pudukkottai,Alangudi(Uzhavar Sandhai ),Banana,Besrai,Local,5000,6000,6000,17-May-25
83,Pudukkottai,Alangudi(Uzhavar Sandhai ),Banana,Besrai,Local,5000,6000,6000,19-Feb-25
84,Pudukkottai,Alangudi(Uzhavar Sandhai ),Banana,Besrai,Local,5000,6000,6000,19-Nov-24
85,Pudukkottai,Alangudi(Uzhavar Sandhai ),Banana,Besrai,Local,5000,6000,6000,27-Aug-24
86,Pudukkottai,Alangudi(Uzhavar Sandhai ),Banana,Besrai,Local,5000,6000,6000,27-Feb-25
87,Pudukkottai,Alangudi(Uzhavar Sandhai ),Banana,Besrai,Local,5000,6000,6000,27-Jan-25
88,Pudukkottai,Alangudi(Uzhavar Sandhai ),Banana,Besrai,Local,5000,6000,6000,29-Mar-25
89,Pudukkottai,Alangudi(Uzhavar Sandhai ),Banana,Besrai,Local,5000,6000,6000,31-Oct-24
90,Pudukkottai,Alangudi(Uzhavar Sandhai ),Banana,Besrai,Local,6000,7000,7000,5-Jun-25
91,Salem,Ammapet(Uzhavar Sandhai ),Banana,Besrai,Local,3000,7000,7000,12-Nov-24
92,Salem,Ammapet(Uzhavar Sandhai ),Banana,Besrai,Local,3000,7500,7500,17-Dec-24
93,Salem,Ammapet(Uzhavar Sandhai ),Banana,Besrai,Local,3500,7500,7500,10-Apr-25
94,Salem,Ammapet(Uzhavar Sandhai ),Banana,Besrai,Local,3500,9000,9000,20-Mar-25
95,Salem,Ammapet(Uzhavar Sandhai ),Banana,Besrai,Local,4000,7000,7000,17-Nov-24
96,Salem,Ammapet(Uzhavar Sandhai ),Banana,Besrai,Local,4000,7500,7500,13-Dec-24
97,Salem,Ammapet(Uzhavar Sandhai ),Banana,Besrai,Local,4000,8000,8000,5-May-25
98,Salem,Ammapet(Uzhavar Sandhai ),Banana,Besrai,Local,4000,8000,8000,13-Jul-25
99,Salem,Ammapet(Uzhavar Sandhai ),Banana,Besrai,Local,4000,8000,8000,18-Aug-24
100,Salem,Ammapet(Uzhavar Sandhai ),Banana,Besrai,Local,4000,8000,8000,24-Apr-25
101,Salem,Ammapet(Uzhavar Sandhai ),Banana,Besrai,Local,4000,8000,8000,28-Apr-25
