Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,5500.0,6000,6000,07 Jul 2025
2,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,5500.0,6000,6000,08 Jul 2025
3,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,5500.0,6000,6000,09 Jul 2025
4,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,5500.0,6000,6000,15 Jul 2025
5,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,5500.0,6000,6000,20 Jun 2025
6,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,5800.0,6000,6000,02 Jul 2025
7,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,5800.0,6000,6000,03 Jul 2025
8,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,5800.0,6000,6000,05 Jul 2025
9,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,5800.0,6000,6000,10 Jul 2025
10,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,5800.0,6000,6000,11 Jul 2025
11,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,5800.0,6000,6000,12 Jul 2025
12,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,5800.0,6000,6000,16 Jul 2025
13,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,5800.0,6000,6000,17 Jul 2025
14,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,5800.0,6000,6000,18 Jul 2025
15,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,5800.0,6000,6000,19 Jul 2025
16,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,5800.0,6000,6000,26 Jun 2025
17,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,5800.0,6000,6000,28 Jun 2025
18,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,5800.0,6000,6000,29 Jun 2025
19,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,6000.0,6500,6500,04 Jul 2025
20,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,6000.0,6500,6500,13 Jul 2025
21,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,6000.0,6500,6500,21 Jun 2025
22,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,6000.0,6500,6500,22 Jun 2025
23,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,7000.0,8000,8000,11 Feb 2025
24,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,7000.0,8000,8000,23 Jun 2025
25,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,7000.0,8000,8000,24 Jun 2025
26,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,7500.0,8000,8000,01 Feb 2025
27,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,7500.0,8000,8000,02 Jan 2025
28,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,7500.0,8000,8000,03 Feb 2025
29,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,7500.0,8000,8000,03 Jan 2025
30,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,7500.0,8000,8000,04 Feb 2025
31,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,7500.0,8000,8000,04 Jan 2025
32,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,7500.0,8000,8000,06 Feb 2025
33,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,7500.0,8000,8000,08 Feb 2025
34,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,7500.0,8000,8000,09 Feb 2025
35,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,7500.0,8000,8000,10 Feb 2025
36,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,7500.0,8000,8000,12 Feb 2025
37,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,7500.0,8000,8000,13 Feb 2025
38,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,7500.0,8000,8000,14 Feb 2025
39,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,7500.0,8000,8000,16 Jun 2025
40,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,7500.0,8000,8000,17 Feb 2025
41,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,7500.0,8000,8000,17 Jun 2025
42,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,7500.0,8000,8000,18 Feb 2025
43,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,7500.0,8000,8000,19 Jun 2025
44,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,7500.0,8000,8000,21 Feb 2025
45,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,7500.0,8000,8000,21 Jul 2025
46,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,7500.0,8000,8000,23 Feb 2025
47,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,7500.0,8000,8000,24 Feb 2025
48,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,7500.0,8000,8000,25 Feb 2025
49,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,7500.0,8000,8000,30 Jan 2025
50,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,7500.0,8000,8000,31 Jan 2025
51,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,7800.0,8000,8000,02 Feb 2025
52,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,7800.0,8000,8000,05 Feb 2025
53,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,7800.0,8000,8000,07 Feb 2025
54,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,7800.0,8000,8000,15 Feb 2025
55,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,7800.0,8000,8000,15 Jun 2025
56,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,7800.0,8000,8000,16 Feb 2025
57,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,7800.0,8000,8000,18 Jun 2025
58,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,7800.0,8000,8000,19 Feb 2025
59,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,7800.0,8000,8000,20 Feb 2025
60,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,7800.0,8000,8000,22 Feb 2025
61,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,7800.0,8000,8000,25 Jun 2025
62,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,8000.0,8500,8500,01 Jan 2025
63,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,8000.0,9000,9000,01 Jul 2025
64,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,8500.0,9000,9000,22 Jan 2025
65,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,8500.0,9000,9000,23 Jan 2025
66,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,8500.0,9000,9000,24 Jan 2025
67,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,8500.0,9000,9000,30 Jun 2025
68,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,9000.0,9500,9500,25 Jan 2025
69,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,9000.0,9500,9500,26 Jan 2025
70,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,9000.0,9500,9500,29 Jan 2025
71,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,9000.0,9800,9800,27 Jan 2025
72,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,9000.0,9800,9800,28 Jan 2025
73,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,9000.0,10000,10000,04 Aug 2024
74,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,9000.0,10000,10000,05 Aug 2024
75,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,9000.0,10000,10000,06 Aug 2024
76,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,9000.0,10000,10000,06 Jan 2025
77,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,9000.0,10000,10000,07 Jan 2025
78,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,9000.0,10000,10000,14 Jan 2025
79,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,9000.0,10000,10000,20 Jan 2025
80,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,9000.0,10000,10000,21 Jan 2025
81,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,9000.0,10000,10000,25 Jul 2024
82,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,9000.0,10000,10000,28 Mar 2025
83,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,9500.0,10000,10000,02 Aug 2024
84,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,9500.0,10000,10000,02 Mar 2025
85,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,9500.0,10000,10000,03 Aug 2024
86,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,9500.0,10000,10000,05 Apr 2025
87,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,9500.0,10000,10000,05 Jan 2025
88,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,9500.0,10000,10000,07 Aug 2024
89,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,9500.0,10000,10000,08 Jan 2025
90,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,9500.0,10000,10000,09 Jan 2025
91,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,9500.0,10000,10000,10 Jan 2025
92,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,9500.0,10000,10000,11 Jan 2025
93,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,9500.0,10000,10000,12 Jan 2025
94,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,9500.0,10000,10000,12 Jun 2025
95,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,9500.0,10000,10000,13 Jan 2025
96,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,9500.0,10000,10000,13 Jun 2025
97,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,9500.0,10000,10000,14 Jun 2025
98,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,9500.0,10000,10000,15 Jan 2025
99,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,9500.0,10000,10000,16 Jan 2025
100,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,9500.0,10000,10000,17 Jan 2025
101,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,9500.0,10000,10000,18 Jan 2025
102,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,9500.0,10000,10000,19 Jan 2025
103,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,9500.0,10000,10000,26 Jul 2024
104,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,9500.0,10000,10000,26 Mar 2025
105,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,9500.0,10000,10000,27 Feb 2025
106,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,9500.0,10000,10000,27 Jul 2024
107,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,9500.0,10000,10000,27 Mar 2025
108,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,9500.0,10000,10000,28 Feb 2025
109,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,9500.0,10000,10000,28 Jul 2024
110,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,9500.0,10000,10000,29 Mar 2025
111,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,9500.0,10000,10000,30 Mar 2025
112,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,9500.0,10000,10000,31 Jul 2024
113,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,10000.0,11000,11000,03 Mar 2025
114,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,10000.0,11000,11000,06 Dec 2024
115,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,10000.0,11000,11000,09 Dec 2024
116,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,10000.0,11000,11000,11 Dec 2024
117,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,10000.0,11000,11000,23 Dec 2024
118,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,10000.0,11000,11000,24 Dec 2024
119,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,10000.0,11000,11000,30 Dec 2024
120,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,10000.0,11000,11000,31 Dec 2024
121,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,10000.0,12000,12000,01 Apr 2025
122,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,10000.0,12500,12500,16 Jul 2024
123,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,10500.0,11000,11000,01 Mar 2025
124,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,10500.0,11000,11000,03 Apr 2025
125,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,10500.0,11000,11000,05 Mar 2025
126,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,10500.0,11000,11000,06 Apr 2025
127,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,10500.0,11000,11000,06 Mar 2025
128,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,10500.0,11000,11000,07 Mar 2025
129,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,10500.0,11000,11000,08 Dec 2024
130,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,10500.0,11000,11000,12 Dec 2024
131,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,10500.0,11000,11000,13 Dec 2024
132,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Lemon,Lemon,Local,10500.0,11000,11000,14 Dec 2024
