Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango (Raw-Ripe),Mango - Raw-Ripe,Local,1200,1500,1500,13 Jul 2025
2,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango (Raw-Ripe),Mango - Raw-Ripe,Local,1400,1600,1600,05 Jul 2025
3,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango (Raw-Ripe),Mango - Raw-Ripe,Local,1400,1600,1600,07 Jul 2025
4,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango (Raw-Ripe),Mango - Raw-Ripe,Local,1400,1600,1600,09 Jul 2025
5,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango (Raw-Ripe),Mango - Raw-Ripe,Local,1400,1600,1600,20 Jun 2025
6,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango (Raw-Ripe),Mango - Raw-Ripe,Local,1400,1600,1600,23 Jun 2025
7,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango (Raw-Ripe),Mango - Raw-Ripe,Local,1500,1700,1700,10 Jul 2025
8,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango (Raw-Ripe),Mango - Raw-Ripe,Local,1500,1700,1700,11 Jul 2025
9,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango (Raw-Ripe),Mango - Raw-Ripe,Local,1500,1700,1700,12 Jul 2025
10,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango (Raw-Ripe),Mango - Raw-Ripe,Local,1500,1800,1800,19 Jun 2025
11,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango (Raw-Ripe),Mango - Raw-Ripe,Local,1500,2000,2000,12 May 2025
12,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango (Raw-Ripe),Mango - Raw-Ripe,Local,1500,2000,2000,17 Jun 2025
13,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango (Raw-Ripe),Mango - Raw-Ripe,Local,1500,2000,2000,27 May 2025
14,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango (Raw-Ripe),Mango - Raw-Ripe,Local,1800,2000,2000,01 Jun 2025
15,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango (Raw-Ripe),Mango - Raw-Ripe,Local,1800,2000,2000,02 Jun 2025
16,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango (Raw-Ripe),Mango - Raw-Ripe,Local,1800,2000,2000,03 Jun 2025
17,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango (Raw-Ripe),Mango - Raw-Ripe,Local,1800,2000,2000,04 Jul 2025
18,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango (Raw-Ripe),Mango - Raw-Ripe,Local,1800,2000,2000,04 Jun 2025
19,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango (Raw-Ripe),Mango - Raw-Ripe,Local,1800,2000,2000,05 Jun 2025
20,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango (Raw-Ripe),Mango - Raw-Ripe,Local,1800,2000,2000,06 Jun 2025
21,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango (Raw-Ripe),Mango - Raw-Ripe,Local,1800,2000,2000,07 Jun 2025
22,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango (Raw-Ripe),Mango - Raw-Ripe,Local,1800,2000,2000,11 Jun 2025
23,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango (Raw-Ripe),Mango - Raw-Ripe,Local,1800,2000,2000,11 May 2025
24,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango (Raw-Ripe),Mango - Raw-Ripe,Local,1800,2000,2000,12 Jun 2025
25,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango (Raw-Ripe),Mango - Raw-Ripe,Local,1800,2000,2000,13 May 2025
26,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango (Raw-Ripe),Mango - Raw-Ripe,Local,1800,2000,2000,14 May 2025
27,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango (Raw-Ripe),Mango - Raw-Ripe,Local,1800,2000,2000,15 Jun 2025
28,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango (Raw-Ripe),Mango - Raw-Ripe,Local,1800,2000,2000,16 Jun 2025
29,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango (Raw-Ripe),Mango - Raw-Ripe,Local,1800,2000,2000,18 Jul 2025
30,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango (Raw-Ripe),Mango - Raw-Ripe,Local,1800,2000,2000,18 Jun 2025
31,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango (Raw-Ripe),Mango - Raw-Ripe,Local,1800,2000,2000,18 May 2025
32,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango (Raw-Ripe),Mango - Raw-Ripe,Local,1800,2000,2000,19 May 2025
33,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango (Raw-Ripe),Mango - Raw-Ripe,Local,1800,2000,2000,21 May 2025
34,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango (Raw-Ripe),Mango - Raw-Ripe,Local,1800,2000,2000,24 May 2025
35,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango (Raw-Ripe),Mango - Raw-Ripe,Local,1800,2000,2000,26 May 2025
36,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango (Raw-Ripe),Mango - Raw-Ripe,Local,1800,2000,2000,28 Jun 2025
37,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango (Raw-Ripe),Mango - Raw-Ripe,Local,1800,2000,2000,28 May 2025
38,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango (Raw-Ripe),Mango - Raw-Ripe,Local,1800,2000,2000,29 May 2025
39,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango (Raw-Ripe),Mango - Raw-Ripe,Local,1800,2000,2000,31 May 2025
40,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango (Raw-Ripe),Mango - Raw-Ripe,Local,2000,2200,2200,09 May 2025
41,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango (Raw-Ripe),Mango - Raw-Ripe,Local,2000,2200,2200,13 Jun 2025
42,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango (Raw-Ripe),Mango - Raw-Ripe,Local,2000,2200,2200,14 Jun 2025
43,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango (Raw-Ripe),Mango - Raw-Ripe,Local,2000,2400,2400,08 Jun 2025
44,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango (Raw-Ripe),Mango - Raw-Ripe,Local,2000,2600,2600,21 Jul 2025
45,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango (Raw-Ripe),Mango - Raw-Ripe,Local,2200,2400,2400,22 May 2025
46,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango (Raw-Ripe),Mango - Raw-Ripe,Local,2200,2400,2400,23 May 2025
47,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango (Raw-Ripe),Mango - Raw-Ripe,Local,2200,2400,2400,25 May 2025
48,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango (Raw-Ripe),Mango - Raw-Ripe,Local,2200,2400,2400,30 May 2025
49,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango (Raw-Ripe),Mango - Raw-Ripe,Local,2400,2600,2600,19 Jul 2025
50,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango (Raw-Ripe),Mango - Raw-Ripe,Local,2800,3000,3000,07 May 2025
51,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango (Raw-Ripe),Mango - Raw-Ripe,Local,3000,3500,3500,06 Nov 2024
52,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango (Raw-Ripe),Mango - Raw-Ripe,Local,3500,4000,4000,04 Nov 2024
53,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango (Raw-Ripe),Mango - Raw-Ripe,Local,3500,4000,4000,05 May 2025
54,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango (Raw-Ripe),Mango - Raw-Ripe,Local,3500,4000,4000,05 Nov 2024
55,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango (Raw-Ripe),Mango - Raw-Ripe,Local,3500,4000,4000,06 May 2025
56,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango (Raw-Ripe),Mango - Raw-Ripe,Local,3500,4000,4000,07 Nov 2024
57,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Mango (Raw-Ripe),Mango - Raw-Ripe,Local,3500,4000,4000,08 Nov 2024
