Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Onion,Bellary,Local,2200,2500,2500,24 May 2025
2,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Onion,Bellary,Local,2500,3000,3000,08 Jul 2025
3,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Onion,Bellary,Local,2500,3000,3000,14 Apr 2025
4,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Onion,Bellary,Local,3000,3200,3200,01 Apr 2025
5,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Onion,Bellary,Local,3000,3200,3200,21 Jun 2025
6,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Onion,Bellary,Local,3200,3400,3400,14 Mar 2025
7,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Onion,Bellary,Local,3200,3400,3400,18 Jun 2025
8,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Onion,Bellary,Local,3200,3400,3400,19 Jun 2025
9,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Onion,Bellary,Local,4000,4400,4400,18 Jul 2024
10,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Onion,Bellary,Local,4000,4400,4400,28 Jul 2024
11,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Onion,Bellary,Local,4200,4400,4400,08 Feb 2025
12,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Onion,Bellary,Local,4200,4400,4400,11 Aug 2024
13,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Onion,Bellary,Local,4200,4400,4400,12 Feb 2025
14,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Onion,Bellary,Local,4400,4600,4600,22 Jan 2025
15,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Onion,Bellary,Local,4500,5000,5000,07 Jan 2025
16,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Onion,Bellary,Local,4600,4800,4800,20 Feb 2025
17,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Onion,Bellary,Local,4600,4800,4800,29 Jan 2025
18,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Onion,Bellary,Local,5000,5400,5400,02 Sep 2024
19,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Onion,Bellary,Local,5000,5400,5400,26 Aug 2024
20,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Onion,Bellary,Local,5400,5600,5600,13 Oct 2024
21,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Onion,Bellary,Local,5500,6000,6000,03 Oct 2024
22,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Onion,Bellary,Local,6000,6200,6200,02 Oct 2024
23,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Onion,Bellary,Local,6000,6400,6400,30 Sep 2024
24,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Onion,Bellary,Local,6600,6800,6800,08 Nov 2024
25,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Onion,Bellary,Local,6800,7000,7000,08 Dec 2024
26,Pudukkottai,Alangudi(Uzhavar Sandhai ),Onion,Bellary,Local,2500,3000,3000,08 Jun 2025
27,Pudukkottai,Alangudi(Uzhavar Sandhai ),Onion,Bellary,Local,2500,3000,3000,09 May 2025
28,Pudukkottai,Alangudi(Uzhavar Sandhai ),Onion,Bellary,Local,2500,3000,3000,16 May 2025
29,Pudukkottai,Alangudi(Uzhavar Sandhai ),Onion,Bellary,Local,2500,3000,3000,22 Jun 2025
30,Pudukkottai,Alangudi(Uzhavar Sandhai ),Onion,Bellary,Local,2500,3000,3000,31 May 2025
31,Pudukkottai,Alangudi(Uzhavar Sandhai ),Onion,Bellary,Local,3000,3500,3500,07 Apr 2025
32,Pudukkottai,Alangudi(Uzhavar Sandhai ),Onion,Bellary,Local,3000,3500,3500,15 Mar 2025
33,Pudukkottai,Alangudi(Uzhavar Sandhai ),Onion,Bellary,Local,3000,3500,3500,26 Apr 2025
34,Thirunelveli,Ambasamudram,Onion,Bellary,Local,38,40,40,26 Jun 2024
35,Thirunelveli,Ambasamudram,Onion,Bellary,Local,40,43,43,06 Jul 2024
36,Thirunelveli,Ambasamudram(Uzhavar Sandhai ),Onion,Bellary,Local,3300,4000,4000,11 Jan 2025
37,Thirunelveli,Ambasamudram(Uzhavar Sandhai ),Onion,Bellary,Local,3300,4000,4000,12 Jan 2025
38,Thirunelveli,Ambasamudram(Uzhavar Sandhai ),Onion,Bellary,Local,3300,4000,4000,14 Jan 2025
39,Thirunelveli,Ambasamudram(Uzhavar Sandhai ),Onion,Bellary,Local,3300,4000,4000,16 Jan 2025
40,Thirunelveli,Ambasamudram(Uzhavar Sandhai ),Onion,Bellary,Local,3300,4000,4000,21 Jan 2025
41,Thirunelveli,Ambasamudram(Uzhavar Sandhai ),Onion,Bellary,Local,3300,4000,4000,26 Oct 2024
42,Thirunelveli,Ambasamudram(Uzhavar Sandhai ),Onion,Bellary,Local,3300,4000,4000,30 Jan 2025
43,Thirunelveli,Ambasamudram(Uzhavar Sandhai ),Onion,Bellary,Local,3800,4500,4500,20 Jan 2025
44,Thirunelveli,Ambasamudram(Uzhavar Sandhai ),Onion,Bellary,Local,3800,4500,4500,22 Dec 2024
45,Thirunelveli,Ambasamudram(Uzhavar Sandhai ),Onion,Bellary,Local,4000,4200,4200,17 Jul 2024
46,Thirunelveli,Ambasamudram(Uzhavar Sandhai ),Onion,Bellary,Local,4200,5000,5000,17 Nov 2024
47,Thirunelveli,Ambasamudram(Uzhavar Sandhai ),Onion,Bellary,Local,4200,5000,5000,17 Oct 2024
48,Thirunelveli,Ambasamudram(Uzhavar Sandhai ),Onion,Bellary,Local,4200,5000,5000,20 Dec 2024
49,Thirunelveli,Ambasamudram(Uzhavar Sandhai ),Onion,Bellary,Local,4200,5100,5100,30 Aug 2024
50,Thirunelveli,Ambasamudram(Uzhavar Sandhai ),Onion,Bellary,Local,4400,4600,4600,16 Aug 2024
51,Thirunelveli,Ambasamudram(Uzhavar Sandhai ),Onion,Bellary,Local,4500,5500,5500,04 Sep 2024
52,Thirunelveli,Ambasamudram(Uzhavar Sandhai ),Onion,Bellary,Local,4500,5500,5500,11 Oct 2024
53,Thirunelveli,Ambasamudram(Uzhavar Sandhai ),Onion,Bellary,Local,5000,6000,6000,07 Dec 2024
54,Thirunelveli,Ambasamudram(Uzhavar Sandhai ),Onion,Bellary,Local,5000,6000,6000,20 Nov 2024
55,Thirunelveli,Ambasamudram(Uzhavar Sandhai ),Onion,Bellary,Local,5000,6000,6000,21 Sep 2024
56,Thiruvellore,Ambattur(Uzhavar Sandhai ),Onion,Bellary,Local,2500,2500,2500,21 May 2025
57,Thiruvellore,Ambattur(Uzhavar Sandhai ),Onion,Bellary,Local,2500,2500,2500,25 Apr 2025
58,Thiruvellore,Ambattur(Uzhavar Sandhai ),Onion,Bellary,Local,3000,3000,3000,08 Jun 2025
59,Thiruvellore,Ambattur(Uzhavar Sandhai ),Onion,Bellary,Local,3000,3000,3000,23 Apr 2025
60,Thiruvellore,Ambattur(Uzhavar Sandhai ),Onion,Bellary,Local,3500,3500,3500,03 Jul 2025
61,Thiruvellore,Ambattur(Uzhavar Sandhai ),Onion,Bellary,Local,3500,3500,3500,10 Apr 2025
62,Thiruvellore,Ambattur(Uzhavar Sandhai ),Onion,Bellary,Local,3500,3500,3500,23 Mar 2025
63,Thiruvellore,Ambattur(Uzhavar Sandhai ),Onion,Bellary,Local,4000,4000,4000,01 Feb 2025
64,Thiruvellore,Ambattur(Uzhavar Sandhai ),Onion,Bellary,Local,4000,4000,4000,27 Jul 2024
65,Thiruvellore,Ambattur(Uzhavar Sandhai ),Onion,Bellary,Local,4500,4500,4500,27 Aug 2024
66,Thiruvellore,Ambattur(Uzhavar Sandhai ),Onion,Bellary,Local,5000,5000,5000,06 Feb 2025
67,Thiruvellore,Ambattur(Uzhavar Sandhai ),Onion,Bellary,Local,5000,5000,5000,10 Feb 2025
68,Thiruvellore,Ambattur(Uzhavar Sandhai ),Onion,Bellary,Local,5000,5000,5000,13 Aug 2024
69,Thiruvellore,Ambattur(Uzhavar Sandhai ),Onion,Bellary,Local,5000,5000,5000,20 Sep 2024
70,Thiruvellore,Ambattur(Uzhavar Sandhai ),Onion,Bellary,Local,5000,5000,5000,24 Jan 2025
71,Thiruvellore,Ambattur(Uzhavar Sandhai ),Onion,Bellary,Local,5000,5000,5000,26 Dec 2024
72,Thiruvellore,Ambattur(Uzhavar Sandhai ),Onion,Bellary,Local,5500,5500,5500,31 Aug 2024
73,Thiruvellore,Ambattur(Uzhavar Sandhai ),Onion,Bellary,Local,6000,6000,6000,02 Oct 2024
74,Thiruvellore,Ambattur(Uzhavar Sandhai ),Onion,Bellary,Local,6000,6000,6000,12 Nov 2024
75,Thiruvellore,Ambattur(Uzhavar Sandhai ),Onion,Bellary,Local,6000,6000,6000,16 Feb 2025
76,Thiruvellore,Ambattur(Uzhavar Sandhai ),Onion,Bellary,Local,7000,7000,7000,11 Dec 2024
77,Salem,Ammapet(Uzhavar Sandhai ),Onion,Bellary,Local,2500,3000,3000,14 May 2025
78,Salem,Ammapet(Uzhavar Sandhai ),Onion,Bellary,Local,3000,3400,3400,04 Jun 2025
79,Salem,Ammapet(Uzhavar Sandhai ),Onion,Bellary,Local,3200,3500,3500,17 Jun 2025
80,Salem,Ammapet(Uzhavar Sandhai ),Onion,Bellary,Local,3200,3600,3600,05 Jul 2025
81,Salem,Ammapet(Uzhavar Sandhai ),Onion,Bellary,Local,3200,3600,3600,08 Jul 2025
82,Salem,Ammapet(Uzhavar Sandhai ),Onion,Bellary,Local,3500,4000,4000,14 Mar 2025
83,Salem,Ammapet(Uzhavar Sandhai ),Onion,Bellary,Local,4000,4500,4500,05 Feb 2025
84,Salem,Ammapet(Uzhavar Sandhai ),Onion,Bellary,Local,4500,5000,5000,06 Aug 2024
85,Salem,Ammapet(Uzhavar Sandhai ),Onion,Bellary,Local,4500,5000,5000,15 Feb 2025
86,Salem,Ammapet(Uzhavar Sandhai ),Onion,Bellary,Local,4500,5000,5000,25 Jan 2025
87,Salem,Ammapet(Uzhavar Sandhai ),Onion,Bellary,Local,4600,4800,4800,09 Aug 2024
88,Salem,Ammapet(Uzhavar Sandhai ),Onion,Bellary,Local,5000,5200,5200,21 Aug 2024
89,Salem,Ammapet(Uzhavar Sandhai ),Onion,Bellary,Local,5000,5600,5600,20 Aug 2024
90,Salem,Ammapet(Uzhavar Sandhai ),Onion,Bellary,Local,5000,6000,6000,01 Sep 2024
91,Salem,Ammapet(Uzhavar Sandhai ),Onion,Bellary,Local,5000,6500,6500,20 Oct 2024
92,Salem,Ammapet(Uzhavar Sandhai ),Onion,Bellary,Local,5600,6000,6000,03 Sep 2024
93,Salem,Ammapet(Uzhavar Sandhai ),Onion,Bellary,Local,6000,7000,7000,19 Nov 2024
94,Salem,Ammapet(Uzhavar Sandhai ),Onion,Bellary,Local,6000,7000,7000,23 Sep 2024
95,Salem,Ammapet(Uzhavar Sandhai ),Onion,Bellary,Local,6500,6800,6800,03 Nov 2024
96,Salem,Ammapet(Uzhavar Sandhai ),Onion,Bellary,Local,7000,8000,8000,07 Dec 2024
97,Madurai,Anaiyur(Uzhavar Sandhai ),Onion,Bellary,Local,2800,3000,3000,27 Apr 2025
98,Madurai,Anaiyur(Uzhavar Sandhai ),Onion,Bellary,Local,2800,3000,3000,27 May 2025
99,Madurai,Anaiyur(Uzhavar Sandhai ),Onion,Bellary,Local,2800,3000,3000,29 Apr 2025
100,Madurai,Anaiyur(Uzhavar Sandhai ),Onion,Bellary,Local,3000,3200,3200,29 Mar 2025
101,Madurai,Anaiyur(Uzhavar Sandhai ),Onion,Bellary,Local,3000,3400,3400,22 Jun 2025
102,Madurai,Anaiyur(Uzhavar Sandhai ),Onion,Bellary,Local,3000,3400,3400,24 Jun 2025
103,Madurai,Anaiyur(Uzhavar Sandhai ),Onion,Bellary,Local,3000,3400,3400,26 Jun 2025
104,Madurai,Anaiyur(Uzhavar Sandhai ),Onion,Bellary,Local,3600,4000,4000,07 Mar 2025
105,Madurai,Anaiyur(Uzhavar Sandhai ),Onion,Bellary,Local,4000,4500,4500,18 Jul 2024
106,Madurai,Anaiyur(Uzhavar Sandhai ),Onion,Bellary,Local,4000,4600,4600,25 Feb 2025
107,Madurai,Anaiyur(Uzhavar Sandhai ),Onion,Bellary,Local,4500,4800,4800,01 Aug 2024
108,Madurai,Anaiyur(Uzhavar Sandhai ),Onion,Bellary,Local,4500,5000,5000,25 Jan 2025
109,Madurai,Anaiyur(Uzhavar Sandhai ),Onion,Bellary,Local,4800,5800,5800,02 Sep 2024
110,Madurai,Anaiyur(Uzhavar Sandhai ),Onion,Bellary,Local,5000,5800,5800,27 Aug 2024
111,Madurai,Anaiyur(Uzhavar Sandhai ),Onion,Bellary,Local,5000,6000,6000,09 Sep 2024
112,Madurai,Anaiyur(Uzhavar Sandhai ),Onion,Bellary,Local,5000,6000,6000,14 Sep 2024
113,Madurai,Anaiyur(Uzhavar Sandhai ),Onion,Bellary,Local,5000,6000,6000,29 Sep 2024
114,Madurai,Anaiyur(Uzhavar Sandhai ),Onion,Bellary,Local,5500,6000,6000,19 Nov 2024
115,Madurai,Anaiyur(Uzhavar Sandhai ),Onion,Bellary,Local,5500,6500,6500,07 Nov 2024
116,Madurai,Anaiyur(Uzhavar Sandhai ),Onion,Bellary,Local,5500,6500,6500,08 Nov 2024
117,Madurai,Anaiyur(Uzhavar Sandhai ),Onion,Bellary,Local,5500,6500,6500,15 Nov 2024
118,Madurai,Anaiyur(Uzhavar Sandhai ),Onion,Bellary,Local,6000,6500,6500,18 Nov 2024
119,Madurai,Anaiyur(Uzhavar Sandhai ),Onion,Bellary,Local,7000,7500,7500,09 Dec 2024
120,Madurai,Anaiyur(Uzhavar Sandhai ),Onion,Bellary,Local,7000,7500,7500,10 Dec 2024
121,Theni,Andipatti(Uzhavar Sandhai ),Onion,Bellary,Local,2000,2400,2400,04 May 2025
122,Theni,Andipatti(Uzhavar Sandhai ),Onion,Bellary,Local,2000,2500,2500,09 May 2025
123,Theni,Andipatti(Uzhavar Sandhai ),Onion,Bellary,Local,2000,2500,2500,16 May 2025
124,Theni,Andipatti(Uzhavar Sandhai ),Onion,Bellary,Local,2000,2500,2500,29 Apr 2025
125,Theni,Andipatti(Uzhavar Sandhai ),Onion,Bellary,Local,2400,2600,2600,28 May 2025
