Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Kancheepuram,Acharapakkam,Paddy(Dhan)(Common),ADT 37,FAQ,1350.0,1660.0,1620.0,12 Dec 2018
2,Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),AST 16,FAQ,1400.0,1600.0,1510.0,11 Aug 2016
3,Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),AST 16,FAQ,1400.0,1600.0,1520.0,07 Oct 2016
4,Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),AST 16,FAQ,1550.0,1750.0,1600.0,28 Nov 2018
5,Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),AST 16,FAQ,1700.0,1900.0,1800.0,05 Feb 2018
6,Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),AST 16,FAQ,1700.0,1900.0,1800.0,17 Jan 2018
7,Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),AST 16,FAQ,1700.0,1900.0,1800.0,21 Jun 2018
8,Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),AST 16,FAQ,1700.0,1900.0,1800.0,30 Aug 2018
9,Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),Other,FAQ,1400.0,1600.0,1500.0,01 Feb 2016
10,Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),Other,FAQ,1400.0,1600.0,1500.0,01 Mar 2015
11,Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),Other,FAQ,1400.0,1600.0,1500.0,02 Jul 2015
12,Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),Other,FAQ,1400.0,1600.0,1500.0,02 Oct 2015
13,Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),Other,FAQ,1400.0,1600.0,1500.0,05 Nov 2015
14,Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),Other,FAQ,1400.0,1600.0,1500.0,08 Jul 2015
15,Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),Other,FAQ,1400.0,1600.0,1500.0,08 Mar 2015
16,Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),Other,FAQ,1400.0,1600.0,1500.0,11 Aug 2015
17,Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),Other,FAQ,1400.0,1600.0,1500.0,18 Feb 2016
18,Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),Other,FAQ,1400.0,1600.0,1510.0,14 Jul 2016
19,Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),Other,FAQ,1400.0,1600.0,1573.0,22 Apr 2015
20,Vellore,Ammoor,Paddy(Dhan)(Common),ADT 36,FAQ,1373.0,1475.0,1424.0,03 Mar 2015
21,Vellore,Ammoor,Paddy(Dhan)(Common),ADT 36,FAQ,1470.0,1859.0,1609.0,30 Mar 2017
22,Vellore,Ammoor,Paddy(Dhan)(Common),ADT 36,FAQ,1519.0,1519.0,1519.0,18 Dec 2015
23,Vellore,Ammoor,Paddy(Dhan)(Common),ADT 36,FAQ,1550.0,1653.0,1653.0,12 Mar 2018
24,Vellore,Ammoor,Paddy(Dhan)(Common),ADT 36,FAQ,1553.0,1665.0,1577.0,15 Mar 2018
25,Vellore,Ammoor,Paddy(Dhan)(Common),ADT 36,FAQ,1629.0,1713.0,1671.0,23 Mar 2018
26,Vellore,Ammoor,Paddy(Dhan)(Common),ADT 37,FAQ,960.0,1505.0,1233.0,29 Oct 2018
27,Vellore,Ammoor,Paddy(Dhan)(Common),ADT 37,FAQ,1067.0,1688.0,1378.0,11 Dec 2018
28,Vellore,Ammoor,Paddy(Dhan)(Common),ADT 37,FAQ,1081.0,1360.0,1360.0,04 May 2015
29,Vellore,Ammoor,Paddy(Dhan)(Common),ADT 37,FAQ,1100.0,1495.0,1298.0,08 Nov 2018
30,Vellore,Ammoor,Paddy(Dhan)(Common),ADT 37,FAQ,1109.0,1415.0,1410.0,06 Oct 2015
31,Vellore,Ammoor,Paddy(Dhan)(Common),ADT 37,FAQ,1110.0,1415.0,1410.0,26 Aug 2015
32,Vellore,Ammoor,Paddy(Dhan)(Common),ADT 37,FAQ,1113.0,1385.0,1379.0,24 Aug 2015
33,Vellore,Ammoor,Paddy(Dhan)(Common),ADT 37,FAQ,1121.0,1360.0,1360.0,16 Apr 2015
34,Vellore,Ammoor,Paddy(Dhan)(Common),ADT 37,FAQ,1140.0,1695.0,1418.0,26 Nov 2018
35,Vellore,Ammoor,Paddy(Dhan)(Common),ADT 37,FAQ,1153.0,1649.0,1485.0,29 Sep 2016
36,Vellore,Ammoor,Paddy(Dhan)(Common),ADT 37,FAQ,1173.0,1680.0,1427.0,05 Dec 2018
37,Vellore,Ammoor,Paddy(Dhan)(Common),ADT 37,FAQ,1201.0,1503.0,1352.0,19 Sep 2018
38,Vellore,Ammoor,Paddy(Dhan)(Common),ADT 37,FAQ,1225.0,1581.0,1403.0,07 Jan 2015
39,Vellore,Ammoor,Paddy(Dhan)(Common),ADT 37,FAQ,1267.0,1560.0,1551.0,12 Jul 2018
40,Vellore,Ammoor,Paddy(Dhan)(Common),ADT 37,FAQ,1275.0,1384.0,1360.0,17 Jun 2015
41,Vellore,Ammoor,Paddy(Dhan)(Common),ADT 37,FAQ,1334.0,1712.0,1523.0,29 Nov 2018
42,Vellore,Ammoor,Paddy(Dhan)(Common),ADT 37,FAQ,1391.0,1436.0,1420.0,17 Nov 2015
43,Vellore,Ammoor,Paddy(Dhan)(Common),ADT 37,FAQ,1401.0,1843.0,1622.0,27 Jan 2017
44,Vellore,Ammoor,Paddy(Dhan)(Common),ADT 37,FAQ,1411.0,1620.0,1565.0,27 Oct 2016
45,Vellore,Ammoor,Paddy(Dhan)(Common),ADT 37,FAQ,1412.0,1578.0,1511.0,04 Nov 2016
46,Vellore,Ammoor,Paddy(Dhan)(Common),ADT 37,FAQ,1437.0,1573.0,1506.0,31 Oct 2016
47,Vellore,Ammoor,Paddy(Dhan)(Common),ADT 37,FAQ,1503.0,1864.0,1684.0,26 Apr 2017
48,Vellore,Ammoor,Paddy(Dhan)(Common),ADT 37,FAQ,1520.0,1685.0,1603.0,03 Jan 2017
49,Vellore,Ammoor,Paddy(Dhan)(Common),ADT 37,FAQ,1535.0,1892.0,1714.0,10 Jan 2017
50,Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),AST 16,FAQ,1400.0,1550.0,1500.0,23 Nov 2016
51,Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),AST 16,FAQ,1400.0,1600.0,1510.0,06 Oct 2016
52,Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),AST 16,FAQ,1400.0,1600.0,1510.0,15 Sep 2016
53,Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),AST 16,FAQ,1400.0,1600.0,1510.0,18 Aug 2016
54,Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),AST 16,FAQ,1400.0,1600.0,1520.0,08 Nov 2016
55,Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),AST 16,FAQ,1550.0,1750.0,1600.0,14 Nov 2018
56,Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),AST 16,FAQ,1700.0,1900.0,1800.0,03 Apr 2018
57,Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),AST 16,FAQ,1700.0,1900.0,1800.0,12 Nov 2018
58,Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),AST 16,FAQ,1700.0,1900.0,1800.0,16 Feb 2018
59,Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),AST 16,FAQ,1700.0,1900.0,1800.0,20 Feb 2018
