District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date,Day Of Week
Kancheepuram,Acharapakkam,Paddy(Dhan)(Common),Adt 37,FAQ,1350.0,1660.0,1620.0,2018-12-12,2
Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),Ast 16,FAQ,1400.0,1600.0,1510.0,2016-08-11,3
Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),Ast 16,FAQ,1400.0,1600.0,1520.0,2016-10-07,4
Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),Ast 16,FAQ,1550.0,1750.0,1600.0,2018-11-28,2
Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),Ast 16,FAQ,1700.0,1900.0,1800.0,2018-02-05,0
Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),Ast 16,FAQ,1700.0,1900.0,1800.0,2018-01-17,2
Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),Ast 16,FAQ,1700.0,1900.0,1800.0,2018-06-21,3
Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),Ast 16,FAQ,1700.0,1900.0,1800.0,2018-08-30,3
Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),Other,FAQ,1400.0,1600.0,1500.0,2016-02-01,0
Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),Other,FAQ,1400.0,1600.0,1500.0,2015-03-01,6
Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),Other,FAQ,1400.0,1600.0,1500.0,2015-07-02,3
Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),Other,FAQ,1400.0,1600.0,1500.0,2015-10-02,4
Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),Other,FAQ,1400.0,1600.0,1500.0,2015-11-05,3
Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),Other,FAQ,1400.0,1600.0,1500.0,2015-07-08,2
Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),Other,FAQ,1400.0,1600.0,1500.0,2015-03-08,6
Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),Other,FAQ,1400.0,1600.0,1500.0,2015-08-11,1
Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),Other,FAQ,1400.0,1600.0,1500.0,2016-02-18,3
Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),Other,FAQ,1400.0,1600.0,1510.0,2016-07-14,3
Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),Other,FAQ,1400.0,1600.0,1573.0,2015-04-22,2
Vellore,Ammoor,Paddy(Dhan)(Common),Adt 36,FAQ,1373.0,1475.0,1424.0,2015-03-03,1
Vellore,Ammoor,Paddy(Dhan)(Common),Adt 36,FAQ,1470.0,1859.0,1609.0,2017-03-30,3
Vellore,Ammoor,Paddy(Dhan)(Common),Adt 36,FAQ,1519.0,1519.0,1519.0,2015-12-18,4
Vellore,Ammoor,Paddy(Dhan)(Common),Adt 36,FAQ,1550.0,1653.0,1653.0,2018-03-12,0
Vellore,Ammoor,Paddy(Dhan)(Common),Adt 36,FAQ,1553.0,1665.0,1577.0,2018-03-15,3
Vellore,Ammoor,Paddy(Dhan)(Common),Adt 36,FAQ,1629.0,1713.0,1671.0,2018-03-23,4
Vellore,Ammoor,Paddy(Dhan)(Common),Adt 37,FAQ,960.0,1505.0,1233.0,2018-10-29,0
Vellore,Ammoor,Paddy(Dhan)(Common),Adt 37,FAQ,1067.0,1688.0,1378.0,2018-12-11,1
Vellore,Ammoor,Paddy(Dhan)(Common),Adt 37,FAQ,1081.0,1360.0,1360.0,2015-05-04,0
Vellore,Ammoor,Paddy(Dhan)(Common),Adt 37,FAQ,1100.0,1495.0,1298.0,2018-11-08,3
Vellore,Ammoor,Paddy(Dhan)(Common),Adt 37,FAQ,1109.0,1415.0,1410.0,2015-10-06,1
