District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date,Day Of Week,lookback_temp_mean,lookback_precip_sum
Dharmapuri,AJattihalli(Farmers Market),Banana - Green,Banana - Green,Local,2000.0,2500.0,2500.0,2024-10-01,1,26.936999999999998,291.2
Dharmapuri,AJattihalli(Farmers Market),Banana - Green,Banana - Green,Local,2000.0,2500.0,2500.0,2024-12-24,1,24.973000000000003,540.8
Dharmapuri,AJattihalli(Farmers Market),Banana - Green,Banana - Green,Local,2000.0,2500.0,2500.0,2024-12-30,0,24.646,551.8
Dharmapuri,AJattihalli(Farmers Market),Banana - Green,Banana - Green,Local,2000.0,2500.0,2500.0,2024-09-30,0,26.930999999999997,292.5
Dharmapuri,AJattihalli(Farmers Market),Banana - Green,Banana - Green,Local,2000.0,2500.0,2500.0,2024-12-31,1,24.592,551.8
Dharmapuri,AJattihalli(Farmers Market),Banana - Green,Banana - Green,Local,2200.0,2500.0,2500.0,2025-02-08,5,23.561000000000003,247.10000000000002
Dharmapuri,AJattihalli(Farmers Market),Banana - Green,Banana - Green,Local,2200.0,2500.0,2500.0,2025-01-09,3,24.105,526.5
Dharmapuri,AJattihalli(Farmers Market),Banana - Green,Banana - Green,Local,2200.0,2500.0,2500.0,2024-12-23,0,25.026999999999997,541.5999999999999
Dharmapuri,AJattihalli(Farmers Market),Banana - Green,Banana - Green,Local,2500.0,3000.0,3000.0,2025-04-01,1,24.807999999999996,30.7
Dharmapuri,AJattihalli(Farmers Market),Banana - Green,Banana - Green,Local,2500.0,3000.0,3000.0,2025-01-01,2,24.536000000000005,549.6999999999999
Dharmapuri,AJattihalli(Farmers Market),Banana - Green,Banana - Green,Local,2500.0,3000.0,3000.0,2025-07-01,1,28.160999999999998,253.70000000000002
Dharmapuri,AJattihalli(Farmers Market),Banana - Green,Banana - Green,Local,2500.0,3000.0,3000.0,2024-08-02,4,27.778,444.4
Dharmapuri,AJattihalli(Farmers Market),Banana - Green,Banana - Green,Local,2500.0,3000.0,3000.0,2024-12-02,0,25.795,538.9
Dharmapuri,AJattihalli(Farmers Market),Banana - Green,Banana - Green,Local,2500.0,3000.0,3000.0,2025-01-02,3,24.481000000000005,549.0
Dharmapuri,AJattihalli(Farmers Market),Banana - Green,Banana - Green,Local,2500.0,3000.0,3000.0,2025-06-02,0,27.952999999999996,219.3
Dharmapuri,AJattihalli(Farmers Market),Banana - Green,Banana - Green,Local,2500.0,3000.0,3000.0,2024-10-02,2,26.945,292.0
Dharmapuri,AJattihalli(Farmers Market),Banana - Green,Banana - Green,Local,2500.0,3000.0,3000.0,2024-09-02,0,26.772000000000002,381.6
Dharmapuri,AJattihalli(Farmers Market),Banana - Green,Banana - Green,Local,2500.0,3000.0,3000.0,2024-12-03,1,25.776,540.1
Dharmapuri,AJattihalli(Farmers Market),Banana - Green,Banana - Green,Local,2500.0,3000.0,3000.0,2025-02-03,0,23.669,251.10000000000002
Dharmapuri,AJattihalli(Farmers Market),Banana - Green,Banana - Green,Local,2500.0,3000.0,3000.0,2025-03-03,0,23.72,203.3
Dharmapuri,AJattihalli(Farmers Market),Banana - Green,Banana - Green,Local,2500.0,3000.0,3000.0,2024-09-03,1,26.761,381.9
Dharmapuri,AJattihalli(Farmers Market),Banana - Green,Banana - Green,Local,2500.0,3000.0,3000.0,2024-08-04,6,27.677,448.0
Dharmapuri,AJattihalli(Farmers Market),Banana - Green,Banana - Green,Local,2500.0,3000.0,3000.0,2024-12-04,2,25.754,538.9
Dharmapuri,AJattihalli(Farmers Market),Banana - Green,Banana - Green,Local,2500.0,3000.0,3000.0,2025-02-04,1,23.655,251.10000000000002
Dharmapuri,AJattihalli(Farmers Market),Banana - Green,Banana - Green,Local,2500.0,3000.0,3000.0,2025-03-04,1,23.744,203.3
Dharmapuri,AJattihalli(Farmers Market),Banana - Green,Banana - Green,Local,2500.0,3000.0,3000.0,2024-11-04,0,26.415,512.6
Dharmapuri,AJattihalli(Farmers Market),Banana - Green,Banana - Green,Local,2500.0,3000.0,3000.0,2024-09-04,2,26.74,382.0
Dharmapuri,AJattihalli(Farmers Market),Banana - Green,Banana - Green,Local,2500.0,3000.0,3000.0,2024-08-05,0,27.621000000000002,450.09999999999997
Dharmapuri,AJattihalli(Farmers Market),Banana - Green,Banana - Green,Local,2500.0,3000.0,3000.0,2024-12-05,3,25.73,538.4
Dharmapuri,AJattihalli(Farmers Market),Banana - Green,Banana - Green,Local,2500.0,3000.0,3000.0,2025-01-05,6,24.293000000000003,539.9
Dharmapuri,AJattihalli(Farmers Market),Banana - Green,Banana - Green,Local,2500.0,3000.0,3000.0,2025-05-05,0,26.907000000000004,58.5
Dharmapuri,AJattihalli(Farmers Market),Banana - Green,Banana - Green,Local,2500.0,3000.0,3000.0,2024-11-05,1,26.384,512.7
Dharmapuri,AJattihalli(Farmers Market),Banana - Green,Banana - Green,Local,2500.0,3000.0,3000.0,2024-09-05,3,26.730999999999998,381.20000000000005
Dharmapuri,AJattihalli(Farmers Market),Banana - Green,Banana - Green,Local,2500.0,3000.0,3000.0,2024-08-06,1,27.546,456.9
Dharmapuri,AJattihalli(Farmers Market),Banana - Green,Banana - Green,Local,2500.0,3000.0,3000.0,2025-01-06,0,24.246,527.6
Dharmapuri,AJattihalli(Farmers Market),Banana - Green,Banana - Green,Local,2500.0,3000.0,3000.0,2025-05-06,1,26.985,58.6
Dharmapuri,AJattihalli(Farmers Market),Banana - Green,Banana - Green,Local,2500.0,3000.0,3000.0,2025-04-07,0,25.049,50.400000000000006
Dharmapuri,AJattihalli(Farmers Market),Banana - Green,Banana - Green,Local,2500.0,3000.0,3000.0,2024-08-07,2,27.471999999999998,465.29999999999995
Dharmapuri,AJattihalli(Farmers Market),Banana - Green,Banana - Green,Local,2500.0,3000.0,3000.0,2025-01-07,1,24.206000000000003,527.3000000000001
Dharmapuri,AJattihalli(Farmers Market),Banana - Green,Banana - Green,Local,2500.0,3000.0,3000.0,2025-07-07,0,28.112,259.4
Dharmapuri,AJattihalli(Farmers Market),Banana - Green,Banana - Green,Local,2500.0,3000.0,3000.0,2024-09-07,5,26.680999999999997,383.1
Dharmapuri,AJattihalli(Farmers Market),Banana - Green,Banana - Green,Local,2500.0,3000.0,3000.0,2025-04-08,1,25.096,50.2
Dharmapuri,AJattihalli(Farmers Market),Banana - Green,Banana - Green,Local,2500.0,3000.0,3000.0,2024-08-08,3,27.4,474.79999999999995
Dharmapuri,AJattihalli(Farmers Market),Banana - Green,Banana - Green,Local,2500.0,3000.0,3000.0,2025-01-08,2,24.158,527.3000000000001
Dharmapuri,AJattihalli(Farmers Market),Banana - Green,Banana - Green,Local,2500.0,3000.0,3000.0,2025-07-08,1,28.124000000000002,259.4
Dharmapuri,AJattihalli(Farmers Market),Banana - Green,Banana - Green,Local,2500.0,3000.0,3000.0,2024-09-08,6,26.66,380.0
Dharmapuri,AJattihalli(Farmers Market),Banana - Green,Banana - Green,Local,2500.0,3000.0,3000.0,2024-08-09,4,27.316,482.4
Dharmapuri,AJattihalli(Farmers Market),Banana - Green,Banana - Green,Local,2500.0,3000.0,3000.0,2024-12-09,0,25.65,524.3000000000001
Dharmapuri,AJattihalli(Farmers Market),Banana - Green,Banana - Green,Local,2500.0,3000.0,3000.0,2025-07-09,2,28.136,259.6
Dharmapuri,AJattihalli(Farmers Market),Banana - Green,Banana - Green,Local,2500.0,3000.0,3000.0,2025-06-09,0,28.13,239.9
Dharmapuri,AJattihalli(Farmers Market),Banana - Green,Banana - Green,Local,2500.0,3000.0,3000.0,2024-09-09,0,26.653000000000002,357.3
Dharmapuri,AJattihalli(Farmers Market),Banana - Green,Banana - Green,Local,2500.0,3000.0,3000.0,2024-08-10,5,27.237,496.2
Dharmapuri,AJattihalli(Farmers Market),Banana - Green,Banana - Green,Local,2500.0,3000.0,3000.0,2024-12-10,1,25.631999999999998,521.7
Dharmapuri,AJattihalli(Farmers Market),Banana - Green,Banana - Green,Local,2500.0,3000.0,3000.0,2025-03-10,0,23.929000000000002,168.20000000000002
