District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date,Day Of Week,lookback_temp_mean,lookback_precip_sum
Dharmapuri,AJattihalli(Farmers Market),Guava,Guava Alahabad,Local,3500.0,4000.0,4000.0,2024-11-04,0,27.449523809523807,928.2
Dharmapuri,AJattihalli(Farmers Market),Guava,Guava Alahabad,Local,3500.0,4000.0,4000.0,2024-11-05,1,27.421904761904763,928.3
Dharmapuri,AJattihalli(Farmers Market),Guava,Guava Alahabad,Local,3500.0,4000.0,4000.0,2024-11-06,2,27.40095238095238,928.6
Dharmapuri,AJattihalli(Farmers Market),Guava,Guava Alahabad,Local,3500.0,4000.0,4000.0,2024-11-07,3,27.37238095238095,931.9
Dharmapuri,AJattihalli(Farmers Market),Guava,Guava Alahabad,Local,3500.0,4000.0,4000.0,2024-11-08,4,27.35238095238095,930.9
Dharmapuri,AJattihalli(Farmers Market),Guava,Guava Alahabad,Local,3500.0,4000.0,4000.0,2024-11-09,5,27.326190476190476,930.9
Dharmapuri,AJattihalli(Farmers Market),Guava,Guava Alahabad,Local,3800.0,4000.0,4000.0,2024-11-03,6,27.484285714285715,927.2
Dharmapuri,AJattihalli(Farmers Market),Guava,Guava Alahabad,Local,4000.0,4500.0,4500.0,2024-12-07,5,26.271428571428572,1066.2
Dharmapuri,AJattihalli(Farmers Market),Guava,Guava Alahabad,Local,4000.0,4500.0,4500.0,2024-11-11,0,27.279047619047617,931.1
Dharmapuri,AJattihalli(Farmers Market),Guava,Guava Alahabad,Local,4000.0,4500.0,4500.0,2024-11-24,6,26.760952380952382,954.5
Dharmapuri,AJattihalli(Farmers Market),Guava,Guava Alahabad,Local,4000.0,4500.0,4500.0,2024-10-28,0,27.665714285714284,907.4
Dharmapuri,AJattihalli(Farmers Market),Guava,Guava Alahabad,Local,4000.0,4500.0,4500.0,2024-10-30,2,27.613333333333333,908.3
Dharmapuri,AJattihalli(Farmers Market),Guava,Guava Alahabad,Local,4500.0,5000.0,5000.0,2024-12-02,0,26.39619047619048,1095.6
