District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date,Day Of Week,lookback_temp_mean,lookback_precip_sum
Kancheepuram,Acharapakkam,Paddy(Dhan)(Common),Adt 37,FAQ,1350.0,1660.0,1620.0,2018-12-12,2,28.79904761904762,690.5
Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),Ast 16,FAQ,1400.0,1600.0,1510.0,2016-08-11,3,28.895714285714284,166.9
Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),Ast 16,FAQ,1400.0,1600.0,1520.0,2016-10-07,4,29.713333333333335,159.5
Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),Ast 16,FAQ,1550.0,1750.0,1600.0,2018-11-28,2,28.605714285714285,932.1999999999999
Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),Ast 16,FAQ,1700.0,1900.0,1800.0,2018-02-05,0,27.895238095238096,912.1999999999999
Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),Ast 16,FAQ,1700.0,1900.0,1800.0,2018-01-17,2,28.28857142857143,942.5000000000001
Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),Ast 16,FAQ,1700.0,1900.0,1800.0,2018-06-21,3,27.733809523809523,727.4
Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),Ast 16,FAQ,1700.0,1900.0,1800.0,2018-08-30,3,28.971904761904764,421.5
Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),Other,FAQ,1400.0,1600.0,1500.0,2016-02-01,0,27.060952380952383,904.6
Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),Other,FAQ,1400.0,1600.0,1500.0,2015-03-01,6,26.173809523809524,915.6
Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),Other,FAQ,1400.0,1600.0,1500.0,2015-07-02,3,26.980476190476192,593.8000000000001
