Crop,Best n_steps,Best RMSE,Best nRMSE (%)
Garlic,14,536.83,2.7
Rubber,14,811.09,6.28
Bajra-2022-2025,30,171.95,6.94
Blackgram-2022-2025,7,858.79,9.85
Maize-2019-2022,60,201.06,11.54
Ragi-2015-2019,30,231.73,11.73
Red_Chillies,21,2271.47,12.15
Turmeric,21,1104.31,12.78
Cotton,30,967.77,12.9
Ragi-2022-2025,21,464.77,13.4
Onion,14,415.82,13.75
Groundnut,14,897.04,13.84
Seasame-2022-2025,7,1677.22,14.36
Seasame-2019-2022,14,1223.41,14.5
Paddy-2019-2022,30,257.98,17.36
Seasame-2015-2019,14,1361.82,17.46
Paddy-2022-2025,14,404.22,19.52
Maize-2022-2025,30,555.96,19.78
Paddy-2015-2019,60,305.95,19.98
Sunflower,60,1026.55,20.39
Tapioca,21,645.53,20.4
Jowar-2015-2019,30,500.65,20.74
Coconut-2025,30,1366.93,22.3
Coconut-2024-2025,60,1286.14,24.88
Guava,30,1498.89,25.06
Cashewnuts,14,2748.09,25.59
Ragi-2019-2022,30,654.31,25.78
Mango-Raw-Ripe,60,652.14,26.66
Coconut-2022-2024,21,592.63,27.6
Mousambi,60,1677.87,27.7
Banana - Green,30,876.94,27.87
Banana,60,1577.93,28.05
Jowar-2019-2022,21,809.52,28.82
Coconut-2015-2019,60,786.26,30.38
Coconut-2019-2022,21,775.54,30.97
Jowar-2022-2025,21,1017.63,32.04
Corriander,60,1631.77,33.63
Mango,21,2427.83,39.13
Bajra-2015-2019,21,797.63,45.63
Red_Gram,21,2197.14,81.9
Lemon,14,8247.16,98.47
Maize-2015-2019,21,3314.27,227.05
