Crop,Best n_steps,Best RMSE,Loss % (MAPE),Accuracy %
Garlic,7,857.8,2.52,97.48
Cashewnuts,60,2871.6,6.53,93.47
Rubber,60,1092.02,7.15,92.85
Maize-2019-2022,30,204.74,7.31,92.69
Red_Chillies,14,2380.68,8.57,91.43
Blackgram-2022-2025,60,913.65,8.87,91.13
Ragi-2022-2025,60,484.04,9.53,90.47
Ragi-2015-2019,60,241.37,9.57,90.43
Turmeric,14,1300.44,9.71,90.29
Cotton,30,1048.96,11.07,88.93
Bajra-2022-2025,60,304.79,11.18,88.82
Onion,60,425.6,11.39,88.61
Maize-2015-2019,14,3322.37,11.71,88.29
Groundnut,60,945.75,12.69,87.31
Seasame-2022-2025,60,1750.41,13.28,86.72
Bajra-2015-2019,14,855.75,13.54,86.46
Jowar-2015-2019,60,565.0,13.71,86.29
Seasame-2019-2022,30,1317.31,13.87,86.13
Paddy-2015-2019,60,315.67,14.9,85.1
Paddy-2022-2025,7,416.13,15.47,84.53
Tapioca,60,672.37,15.56,84.44
Paddy-2019-2022,30,287.96,16.49,83.51
Guava,14,1599.09,16.75,83.25
Maize-2022-2025,60,560.08,16.82,83.18
Sunflower,30,1251.72,18.86,81.14
Coconut-2019-2022,60,788.83,19.91,80.09
Ragi-2019-2022,14,686.97,20.64,79.36
Banana,60,1637.91,21.18,78.82
Mango-Raw-Ripe,7,697.93,21.18,78.82
Banana - Green,21,891.87,21.23,78.77
Seasame-2015-2019,30,1618.85,22.2,77.8
Lemon,30,8250.43,22.49,77.51
Coconut-2022-2024,60,613.55,23.26,76.74
Coconut-2025,30,1456.3,24.44,75.56
Jowar-2022-2025,30,1059.8,25.67,74.33
Coconut-2024-2025,30,1342.03,27.08,72.92
Mousambi,60,1708.96,28.52,71.48
Coconut-2015-2019,30,870.07,29.81,70.19
Corriander,60,1648.71,30.26,69.74
Jowar-2019-2022,14,847.84,30.48,69.52
Mango,60,2491.03,34.51,65.49
Red_Gram,21,2330.13,38.25,61.75
