Crop,Best n_steps,Best RMSE,Loss % (MAPE),Accuracy %
Garlic,60,768.88,2.58,97.42
Rubber,60,1220.52,7.53,92.47
Maize-2019-2022,60,213.25,7.71,92.29
Cashewnuts,14,2849.98,7.98,92.02
Red_Chillies,14,2332.63,8.99,91.01
Ragi-2015-2019,60,239.68,9.47,90.53
Ragi-2022-2025,14,486.53,9.7,90.3
Maize-2015-2019,30,3325.76,10.64,89.36
Bajra-2022-2025,7,297.14,10.87,89.13
Bajra-2015-2019,21,868.08,11.29,88.71
Onion,21,442.54,11.64,88.36
Turmeric,7,1600.51,11.77,88.23
Blackgram-2022-2025,60,1193.57,12.2,87.8
Groundnut,60,933.62,12.49,87.51
Cotton,14,1196.58,12.65,87.35
Jowar-2015-2019,30,539.06,13.05,86.95
Seasame-2022-2025,21,1772.48,13.77,86.23
Seasame-2019-2022,21,1365.32,14.27,85.73
Paddy-2015-2019,14,316.35,15.27,84.73
Paddy-2022-2025,30,415.57,15.37,84.63
Paddy-2019-2022,30,291.29,16.38,83.62
Guava,7,1576.68,16.82,83.18
Maize-2022-2025,60,560.88,16.88,83.12
Tapioca,30,662.6,17.33,82.67
Sunflower,21,1167.98,18.34,81.66
Coconut-2019-2022,21,788.62,19.76,80.24
Ragi-2019-2022,14,683.13,20.94,79.06
Mango-Raw-Ripe,30,684.03,20.98,79.02
Banana,60,1656.74,21.08,78.92
Banana - Green,60,899.58,21.25,78.75
Coconut-2022-2024,7,605.04,22.74,77.26
Seasame-2015-2019,60,1754.38,22.84,77.16
Coconut-2025,60,1401.29,23.35,76.65
Lemon,14,8267.17,24.43,75.57
Jowar-2022-2025,7,1079.93,25.35,74.65
Coconut-2024-2025,30,1352.76,27.19,72.81
Mousambi,14,1705.86,28.34,71.66
Coconut-2015-2019,7,850.05,28.59,71.41
Corriander,7,1757.27,30.32,69.68
Jowar-2019-2022,14,847.09,31.18,68.82
Red_Gram,21,2277.36,37.56,62.44
Mango,14,2479.13,40.1,59.9
