Crop,Best n_steps,Best RMSE,Loss % (MAPE),Accuracy %
Rubber,60,1034.56,6.56,93.44
Maize-2019-2022,14,208.68,7.63,92.37
Cashewnuts,30,2834.51,7.82,92.18
Bajra-2022-2025,14,249.48,8.89,91.11
Red_Chillies,21,2354.97,9.12,90.88
Ragi-2015-2019,21,238.19,9.35,90.65
Bajra-2015-2019,21,853.45,9.6,90.4
Turmeric,7,1435.92,10.63,89.37
Onion,60,485.73,11.94,88.06
Blackgram-2022-2025,30,1132.79,12.0,88.0
Maize-2015-2019,60,3331.32,12.83,87.17
Jowar-2015-2019,60,561.42,13.28,86.72
Seasame-2022-2025,30,1728.62,13.39,86.61
Ragi-2022-2025,21,654.18,14.11,85.89
Paddy-2022-2025,30,432.8,14.26,85.74
Paddy-2015-2019,7,336.29,15.44,84.56
Groundnut,21,1154.88,15.93,84.07
Guava,30,1607.29,16.76,83.24
Maize-2022-2025,30,561.26,17.0,83.0
Tapioca,14,665.43,18.56,81.44
Ragi-2019-2022,30,695.27,20.03,79.97
Seasame-2019-2022,14,1837.01,20.29,79.71
Coconut-2019-2022,21,797.18,20.47,79.53
Banana,30,1640.01,21.17,78.83
Banana - Green,60,893.27,21.24,78.76
Mango-Raw-Ripe,21,761.25,21.33,78.67
Paddy-2019-2022,21,342.06,21.4,78.6
Lemon,60,8283.54,21.78,78.22
Seasame-2015-2019,21,1622.02,22.43,77.57
Cotton,7,2284.67,23.27,76.73
Coconut-2025,60,1404.87,23.44,76.56
Coconut-2022-2024,14,613.05,23.79,76.21
Jowar-2022-2025,30,1082.75,26.89,73.11
Coconut-2024-2025,21,1345.7,27.24,72.76
Corriander,30,1794.91,27.8,72.2
Mousambi,30,1716.19,28.8,71.2
Jowar-2019-2022,14,861.4,30.25,69.75
Garlic,30,6434.59,32.09,67.91
Mango,30,2534.89,35.91,64.09
Coconut-2015-2019,7,1306.83,36.62,63.38
Sunflower,14,2676.5,43.96,56.04
Red_Gram,7,2681.03,47.41,52.59
