Crop,Best n_steps,Best RMSE,Loss % (MAPE),Accuracy %
Garlic,21,710.54,2.65,97.35
Cashewnuts,14,2845.57,6.87,93.13
Rubber,60,1058.73,6.91,93.09
Maize-2019-2022,60,204.19,7.21,92.79
Red_Chillies,21,2306.33,8.72,91.28
Ragi-2015-2019,30,239.3,9.41,90.59
Ragi-2022-2025,30,479.6,9.62,90.38
Turmeric,60,1359.56,9.92,90.08
Bajra-2022-2025,30,294.59,10.75,89.25
Onion,30,443.29,10.93,89.07
Cotton,60,1077.6,11.13,88.87
Blackgram-2022-2025,60,1201.77,12.44,87.56
Jowar-2015-2019,30,537.0,12.7,87.3
Groundnut,21,949.54,12.77,87.23
Maize-2015-2019,60,3331.97,12.99,87.01
Seasame-2022-2025,30,1754.37,13.45,86.55
Seasame-2019-2022,14,1370.0,14.55,85.45
Bajra-2015-2019,14,845.27,14.58,85.42
Paddy-2015-2019,14,319.86,14.86,85.14
Paddy-2022-2025,14,416.4,15.82,84.18
Paddy-2019-2022,30,288.38,16.28,83.72
Guava,14,1594.74,16.73,83.27
Maize-2022-2025,14,567.36,16.85,83.15
Sunflower,7,1259.54,18.28,81.72
Tapioca,14,669.66,18.45,81.55
Coconut-2019-2022,60,795.37,20.26,79.74
Banana,7,1652.63,20.86,79.14
Ragi-2019-2022,7,687.98,21.34,78.66
Banana - Green,14,884.54,21.76,78.24
Mango-Raw-Ripe,21,667.81,22.1,77.9
Seasame-2015-2019,60,1503.88,22.3,77.7
Lemon,21,8258.65,22.65,77.35
Coconut-2022-2024,60,600.59,22.88,77.12
Coconut-2025,14,1422.65,23.83,76.17
Coconut-2015-2019,14,832.17,26.65,73.35
Coconut-2024-2025,60,1322.03,26.9,73.1
Jowar-2022-2025,14,1085.02,27.26,72.74
Corriander,14,1731.87,28.31,71.69
Mousambi,14,1706.54,28.61,71.39
Jowar-2019-2022,7,841.16,31.16,68.84
Red_Gram,21,2325.88,36.88,63.12
Mango,30,2457.97,39.31,60.69
