Crop,Best n_steps,Best RMSE,Loss % (MAPE),Accuracy %
Garlic,30,735.15,2.51,97.49
Rubber,60,1008.44,6.47,93.53
Maize-2019-2022,60,203.36,7.15,92.85
Cashewnuts,21,2841.37,7.36,92.64
Red_Chillies,14,2482.16,8.93,91.07
Ragi-2015-2019,30,233.04,9.09,90.91
Ragi-2022-2025,21,486.63,10.23,89.77
Turmeric,14,1333.39,10.35,89.65
Onion,60,424.46,10.9,89.1
Bajra-2022-2025,7,307.04,11.16,88.84
Blackgram-2022-2025,21,1145.97,12.15,87.85
Jowar-2015-2019,30,532.82,12.41,87.59
Bajra-2015-2019,14,840.59,13.32,86.68
Maize-2015-2019,14,3325.03,13.4,86.6
Seasame-2022-2025,30,1808.62,13.71,86.29
Paddy-2022-2025,60,435.27,14.15,85.85
Groundnut,30,1045.56,14.15,85.85
Paddy-2015-2019,60,344.52,15.13,84.87
Guava,60,1605.24,16.86,83.14
Maize-2022-2025,60,565.65,17.09,82.91
Seasame-2019-2022,60,1627.48,17.58,82.42
Cotton,60,1771.98,17.79,82.21
Tapioca,7,663.48,18.42,81.58
Ragi-2019-2022,7,712.03,19.38,80.62
Paddy-2019-2022,60,333.52,20.63,79.37
Coconut-2019-2022,7,809.29,20.94,79.06
Mango-Raw-Ripe,14,773.42,21.33,78.67
Banana - Green,60,892.72,21.44,78.56
Seasame-2015-2019,21,1625.11,22.33,77.67
Banana,7,1599.01,22.48,77.52
Coconut-2025,21,1373.14,22.65,77.35
Coconut-2022-2024,21,610.02,23.13,76.87
Lemon,21,8257.65,23.65,76.35
Jowar-2022-2025,60,1090.81,24.66,75.34
Coconut-2024-2025,21,1308.87,26.84,73.16
Corriander,60,1803.41,26.98,73.02
Mousambi,21,1726.08,28.75,71.25
Jowar-2019-2022,21,895.87,29.35,70.65
Coconut-2015-2019,7,1237.74,34.93,65.07
Sunflower,30,2268.79,35.45,64.55
Mango,30,2473.0,38.43,61.57
Red_Gram,60,2659.76,44.94,55.06
