Crop,Best n_steps,Best RMSE,Loss % (MAPE),Accuracy %
Garlic,30,778.82,2.55,97.45
Maize-2019-2022,30,210.74,7.61,92.39
Rubber,60,1215.21,8.0,92.0
Cashewnuts,30,2899.32,9.24,90.76
Red_Chillies,21,2395.67,9.41,90.59
Ragi-2015-2019,21,239.33,9.41,90.59
Ragi-2022-2025,60,500.2,9.92,90.08
Onion,30,422.67,10.97,89.03
Blackgram-2022-2025,60,1102.7,11.4,88.6
Bajra-2022-2025,30,313.33,11.59,88.41
Bajra-2015-2019,14,828.05,12.38,87.62
Maize-2015-2019,21,3324.05,12.39,87.61
Groundnut,21,937.07,12.55,87.45
Cotton,60,1168.41,12.6,87.4
Turmeric,21,1962.69,12.77,87.23
Seasame-2022-2025,14,1755.38,13.51,86.49
Seasame-2019-2022,30,1340.69,13.98,86.02
Jowar-2015-2019,7,540.21,14.09,85.91
Paddy-2015-2019,60,318.75,14.84,85.16
Paddy-2022-2025,21,418.53,15.76,84.24
Paddy-2019-2022,30,296.15,16.57,83.43
Guava,7,1637.18,16.74,83.26
Maize-2022-2025,30,562.06,16.89,83.11
Tapioca,21,674.6,18.49,81.51
Sunflower,7,1307.74,18.71,81.29
Coconut-2019-2022,21,793.59,19.37,80.63
Banana,30,1676.45,20.53,79.47
Banana - Green,60,890.43,21.09,78.91
Ragi-2019-2022,14,681.08,22.14,77.86
Seasame-2015-2019,60,1699.24,22.61,77.39
Mango-Raw-Ripe,60,660.16,22.61,77.39
Coconut-2022-2024,60,601.39,22.81,77.19
Coconut-2025,7,1399.07,23.29,76.71
Lemon,14,8259.43,23.92,76.08
Jowar-2022-2025,7,1087.15,26.77,73.23
Coconut-2024-2025,14,1388.38,27.64,72.36
Coconut-2015-2019,7,842.18,27.95,72.05
Mousambi,14,1703.18,28.41,71.59
Corriander,60,1650.26,29.44,70.56
Jowar-2019-2022,14,848.6,30.78,69.22
Red_Gram,21,2280.03,36.94,63.06
Mango,21,2473.85,37.62,62.38
