Crop,Best n_steps,Best RMSE,Loss % (MAPE),Accuracy %
Rubber,60,1053.6,6.58,93.42
Maize-2019-2022,21,204.82,7.27,92.73
Cashewnuts,7,2842.03,8.08,91.92
Ragi-2015-2019,21,238.36,9.35,90.65
Red_Chillies,21,2391.73,9.47,90.53
Bajra-2022-2025,14,297.92,10.97,89.03
Bajra-2015-2019,7,831.78,11.37,88.63
Turmeric,60,1834.12,12.22,87.78
Maize-2015-2019,7,3323.25,12.32,87.68
Onion,21,524.55,12.68,87.32
Jowar-2015-2019,30,545.88,13.01,86.99
Seasame-2022-2025,60,1787.95,13.95,86.05
Groundnut,60,1060.14,14.39,85.61
Paddy-2022-2025,21,415.97,14.62,85.38
Paddy-2015-2019,14,327.08,15.4,84.6
Blackgram-2022-2025,21,1543.19,16.48,83.52
Ragi-2022-2025,60,747.56,16.82,83.18
Guava,7,1595.02,16.83,83.17
Maize-2022-2025,14,561.54,16.93,83.07
Tapioca,60,669.04,18.78,81.22
Ragi-2019-2022,7,710.7,19.08,80.92
Coconut-2019-2022,21,794.91,20.21,79.79
Seasame-2019-2022,60,1891.05,20.94,79.06
Mango-Raw-Ripe,60,699.98,21.04,78.96
Paddy-2019-2022,21,341.49,21.19,78.81
Banana - Green,60,898.73,21.24,78.76
Lemon,60,8272.0,21.85,78.15
Cotton,14,2266.96,22.18,77.82
Banana,14,1598.43,22.25,77.75
Seasame-2015-2019,14,1689.26,22.53,77.47
Coconut-2025,30,1396.54,23.22,76.78
Coconut-2022-2024,7,612.36,23.69,76.31
Jowar-2022-2025,30,1097.89,25.4,74.6
Coconut-2024-2025,60,1407.6,28.01,71.99
Corriander,14,1782.42,28.21,71.79
Mousambi,14,1716.97,28.66,71.34
Jowar-2019-2022,14,864.11,30.31,69.69
Mango,60,2597.83,35.3,64.7
Garlic,30,7307.33,36.61,63.39
Coconut-2015-2019,30,1358.25,38.26,61.74
Sunflower,30,2656.88,43.54,56.46
Red_Gram,30,2672.14,48.62,51.38
